train_id,departure_date,sale_date,days_before_departure,base_fare,dynamic_price,seats_booked,seats_available
TRAIN-1000,2025-05-01,2025-04-01,30,435,435.0,3,100
TRAIN-1000,2025-05-01,2025-04-02,29,435,462.98,4,97
TRAIN-1000,2025-05-01,2025-04-03,28,435,496.48,3,93
TRAIN-1000,2025-05-01,2025-04-04,27,435,526.35,1,90
TRAIN-1000,2025-05-01,2025-04-05,26,435,547.23,5,89
TRAIN-1000,2025-05-01,2025-04-06,25,435,588.7,4,84
TRAIN-1000,2025-05-01,2025-04-07,24,435,626.4,1,80
TRAIN-1000,2025-05-01,2025-04-08,23,435,649.17,1,79
TRAIN-1000,2025-05-01,2025-04-09,22,435,672.22,1,78
TRAIN-1000,2025-05-01,2025-04-10,21,435,695.56,2,77
TRAIN-1000,2025-05-01,2025-04-11,20,435,725.0,1,75
TRAIN-1000,2025-05-01,2025-04-12,19,435,749.07,1,74
TRAIN-1000,2025-05-01,2025-04-13,18,435,773.43,1,73
TRAIN-1000,2025-05-01,2025-04-14,17,435,798.08,2,72
TRAIN-1000,2025-05-01,2025-04-15,16,435,829.4,0,70
TRAIN-1000,2025-05-01,2025-04-16,15,435,848.25,5,70
TRAIN-1000,2025-05-01,2025-04-17,14,435,900.45,4,65
TRAIN-1000,2025-05-01,2025-04-18,13,435,947.29,2,61
TRAIN-1000,2025-05-01,2025-04-19,12,435,981.36,4,59
TRAIN-1000,2025-05-01,2025-04-20,11,435,1030.22,3,55
TRAIN-1000,2025-05-01,2025-04-21,10,435,1073.0,4,52
TRAIN-1000,2025-05-01,2025-04-22,9,435,1124.04,5,48
TRAIN-1000,2025-05-01,2025-04-23,8,435,1183.78,2,43
TRAIN-1000,2025-05-01,2025-04-24,7,435,1221.91,2,41
TRAIN-1000,2025-05-01,2025-04-25,6,435,1260.63,3,39
TRAIN-1000,2025-05-01,2025-04-26,5,435,1307.9,1,36
TRAIN-1000,2025-05-01,2025-04-27,4,435,1339.8,3,35
TRAIN-1000,2025-05-01,2025-04-28,3,435,1388.52,4,32
TRAIN-1000,2025-05-01,2025-04-29,2,435,1446.52,2,28
TRAIN-1000,2025-05-01,2025-04-30,1,435,1488.57,4,26
TRAIN-1001,2025-05-03,2025-04-03,30,495,495.0,1,100
TRAIN-1001,2025-05-03,2025-04-04,29,495,516.61,0,99
TRAIN-1001,2025-05-03,2025-04-05,28,495,533.28,4,99
TRAIN-1001,2025-05-03,2025-04-06,27,495,571.73,2,95
TRAIN-1001,2025-05-03,2025-04-07,26,495,600.27,4,93
TRAIN-1001,2025-05-03,2025-04-08,25,495,641.02,3,89
TRAIN-1001,2025-05-03,2025-04-09,24,495,677.16,1,86
TRAIN-1001,2025-05-03,2025-04-10,23,495,702.08,1,85
TRAIN-1001,2025-05-03,2025-04-11,22,495,727.32,2,84
TRAIN-1001,2025-05-03,2025-04-12,21,495,759.33,2,82
TRAIN-1001,2025-05-03,2025-04-13,20,495,792.0,1,80
TRAIN-1001,2025-05-03,2025-04-14,19,495,818.56,0,79
TRAIN-1001,2025-05-03,2025-04-15,18,495,838.53,1,79
TRAIN-1001,2025-05-03,2025-04-16,17,495,865.59,0,78
TRAIN-1001,2025-05-03,2025-04-17,16,495,885.72,1,78
TRAIN-1001,2025-05-03,2025-04-18,15,495,913.28,4,77
TRAIN-1001,2025-05-03,2025-04-19,14,495,963.93,7,73
